generation: 14 |  training round: 0/125 | time: Tue Jul 14 07:10:09 2026
generation: 15 |  training round: 0/125 | time: Tue Jul 14 07:55:10 2026
generation: 16 |  training round: 0/125 | time: Tue Jul 14 08:41:34 2026
generation: 17 |  training round: 0/125 | time: Tue Jul 14 09:27:25 2026
generation: 18 |  training round: 0/125 | time: Tue Jul 14 10:11:52 2026
generation: 19 |  training round: 0/125 | time: Tue Jul 14 11:01:15 2026
generation: 20 |  training round: 0/125 | time: Tue Jul 14 11:50:49 2026
generation: 1 |  training round: 0/10 | time: Tue Jul 14 21:20:44 2026
generation: 2 |  training round: 0/175 | time: Tue Jul 14 21:24:30 2026
generation: 3 |  training round: 0/175 | time: Tue Jul 14 22:38:24 2026
generation: 4 |  training round: 0/175 | time: Tue Jul 14 23:53:47 2026
generation: 5 |  training round: 0/175 | time: Wed Jul 15 01:09:00 2026
generation: 6 |  training round: 0/175 | time: Wed Jul 15 02:20:58 2026
generation: 7 |  training round: 0/175 | time: Wed Jul 15 03:34:35 2026
generation: 8 |  training round: 0/175 | time: Wed Jul 15 04:48:05 2026
generation: 9 |  training round: 0/175 | time: Wed Jul 15 06:00:11 2026
generation: 10 |  training round: 0/175 | time: Wed Jul 15 07:13:28 2026
generation: 11 |  training round: 0/175 | time: Wed Jul 15 08:29:09 2026
generation: 12 |  training round: 0/175 | time: Wed Jul 15 09:44:00 2026
